image,flag,year
2010-06/hmi.M_720s.20100601_015825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_025825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_035825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_045825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_055825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_065825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_075825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_085825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_095825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_105825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_115825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_125825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_135825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_145825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_155825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_165825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_175825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_185825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_195825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_205825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_215825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_225825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100601_235825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_005825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_015825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_025825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_035825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_045825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_055825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_065825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_075825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_085825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_095825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_105825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_115825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_125825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_135825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_145825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_155825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_165825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_175825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_185825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_195825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_205825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_215825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_225825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100602_235825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_005825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_015825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_025825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_035825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_045825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_055825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_065825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_075825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_085825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_095825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_105825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_115825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_125825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_135825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_145825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_155825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_165825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_175825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_185825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_195825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_205825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_215825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_225825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100603_235825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_005825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_015825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_025825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_035825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_045825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_055825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_065825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_075825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_085825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_095825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_105825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_115825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_125825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_135825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_145825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_155825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_165825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_175825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_185825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_195825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_205825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_215825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100604_225825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100605_005825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100605_015825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100605_025825.magnetogram.png,0,2010
2010-06/hmi.M_720s.20100605_035825.magnetogram.png,0,2010
