image,flag,year
2014-01/hmi.M_720s.20140101_005809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140101_015809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140101_025809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140101_035809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140101_045809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140101_055809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140101_065809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140101_075809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140101_085809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140101_095809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140101_105809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140101_115809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140101_125809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140101_135809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140101_145809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140101_155809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140101_165809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140101_175809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140101_195809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140101_215809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140101_225809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140101_235809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140102_005809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_015809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_025809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_035809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_045809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_055809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_065809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_075809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_085809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_095809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_105809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_115809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_125809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_135809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_145809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_155809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_165809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_175809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_185809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140102_195809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140102_215809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140102_225809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140102_235809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140103_005809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140103_015809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140103_025809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140103_035809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140103_045809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140103_055809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140103_065809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140103_075809.magnetogram.png,0,2014
2014-01/hmi.M_720s.20140103_085809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140103_095809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140103_105809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140103_115809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140103_125809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140103_135809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140103_145809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140103_155809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140103_165809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140103_175809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140103_185809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140103_195809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140103_215809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140103_225809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140103_235809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140104_005809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140104_015809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140104_025809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140104_035809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140104_045809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140104_055809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140104_065809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140104_075809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140104_085809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140104_095809.magnetogram.png,2,2014
2014-01/hmi.M_720s.20140104_105809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140104_115809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140104_125809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140104_135809.magnetogram.png,1,2014
2014-01/hmi.M_720s.20140104_145809.magnetogram.png,1,2014
